lon,lat,date
-80.6077778,28.3197222,4/18/2000
-86.8163889,33.2441667,4/19/2000
-118.3955556,34.0211111,4/19/2000
-80.0730556,26.4611111,4/19/2000
-87.65,41.85,4/19/2000
-116.3736111,33.7222222,4/20/2000
-97.7427778,30.2669444,4/20/2000
-119.4383333,48.7052778,4/20/2000
-121.9541667,37.3541667,4/20/2000
-112.1008333,40.7091667,4/20/2000
-112.0252778,41.1108333,4/20/2000
-112.0252778,41.1108333,4/20/2000
-70.6208333,42.6555556,4/20/2000
-93.1075,36.2297222,4/21/2000
-85.6591667,40.5583333,4/21/2000
-122.8680556,38.6105556,4/21/2000
-87.6575,44.0886111,4/22/2000
-84.2425,40.1447222,4/22/2000
-91.1602778,38.2080556,4/22/2000
-86.8025,33.5205556,4/22/2000
-92.2977778,41.7316667,4/22/2000
-93.2172222,30.2263889,4/22/2000
-115.1363889,36.175,4/23/2000
-117.3952778,33.9533333,4/23/2000
-111.3316667,31.5747222,4/23/2000
-123.0855556,44.0522222,4/23/2000
-87.3327778,41.4827778,4/24/2000
-84.6697222,33.5177778,4/24/2000
-121.8938889,37.3394444,4/24/2000
-95.9925,36.1538889,4/24/2000
-118.4591667,33.9908333,4/24/2000
-117.7263889,33.8936111,4/24/2000
-84.4569444,39.1619444,4/24/2000
-149.5677778,61.3213889,4/24/2000
-111.3,47.5002778,4/24/2000
-77.0555556,39.0397222,4/25/2000
-87.9788889,41.9633333,4/25/2000
-85.6680556,42.9633333,4/25/2000
-96.89,32.9536111,4/25/2000
-122.53,37.9736111,4/25/2000
-88.0683333,41.6986111,4/26/2000
-116.5444444,33.8302778,4/27/2000
-70.2152778,44.1002778,4/27/2000
-124.2166667,43.3666667,4/27/2000
-96.8,32.7833333,4/27/2000
-112.315,34.61,4/27/2000
-93.055,34.5036111,4/27/2000
-96.6986111,33.0197222,4/27/2000
-123.3272222,42.4391667,4/28/2000
-122.3308333,47.6063889,4/28/2000
-80.7211111,40.0638889,4/28/2000
-122.3308333,47.6063889,4/28/2000
-122.3113889,47.3225,4/28/2000
-122.3113889,47.3225,4/28/2000
-122.3308333,47.6063889,4/28/2000
-122.3308333,47.6063889,4/28/2000
-93.7319444,32.5158333,4/28/2000
-93.6088889,41.6005556,4/28/2000
-73.7052778,40.7236111,4/29/2000
-111.9730556,41.2230556,4/29/2000
-122.8016667,42.4727778,4/29/2000
-122.5644444,42.5433333,4/29/2000
-83.6516667,42.4605556,4/30/2000
-71.3972222,42.0833333,4/30/2000
-111.9702778,41.0602778,4/30/2000
-123.2608333,44.5647222,4/30/2000
-122.675,45.5236111,4/30/2000
-87.8755556,43.3872222,4/30/2000
-74.0063889,40.7141667,5/1/2000
-117.2297222,33.9375,5/1/2000
-88.3052778,41.8875,5/1/2000
-90.9719444,30.3027778,5/1/2000
-93.2505556,30.2419444,5/1/2000
-87.65,41.85,5/1/2000
-92.2894444,34.7463889,5/1/2000
-102.8983333,43.6675,5/1/2000
-87.7144444,43.7508333,5/2/2000
-71.2097222,42.3369444,5/3/2000
-91.5577778,40.9636111,5/3/2000
-112.3325,33.6305556,5/3/2000
-82.0283333,41.5052778,5/3/2000
-112.3325,33.6305556,5/3/2000
-122.5788889,47.3294444,5/4/2000
-93.7433333,30.2975,5/4/2000
-117.2502778,33.3763889,5/4/2000
-94.5783333,39.0997222,5/4/2000
-90.3052778,38.7441667,5/4/2000
-81.2813889,28.2486111,5/4/2000
-95.3630556,29.7630556,5/4/2000
-84.3880556,33.7488889,5/5/2000
-96.0969444,42.0266667,5/5/2000
-101.7505556,37.5705556,5/5/2000
-82.2544444,34.7369444,5/5/2000
-76.9366667,34.7205556,5/6/2000
-71,42.2222222,5/6/2000
-117.9177778,33.6411111,5/6/2000
-122.675,45.5236111,5/7/2000
-117.7822222,33.5422222,5/7/2000
-75.5986111,39.7788889,5/7/2000
-71.8027778,42.2625,5/7/2000
-89.3894444,39.6572222,5/7/2000
-87.5558333,37.9747222,5/7/2000
-74.2961111,40.9680556,5/8/2000
-119.5175,34.3988889,5/8/2000
-84.2963889,33.7747222,5/9/2000
-98.39,34.6086111,5/9/2000
-80.7611111,41.025,5/9/2000
-117.3952778,33.9533333,5/9/2000
-97.5383333,30.9469444,5/9/2000
-80.8433333,35.2269444,5/10/2000
-117.3952778,33.9533333,5/12/2000
-122.5758333,45.1475,5/12/2000
-122.675,45.5236111,5/12/2000
-117.8894444,34.09,5/12/2000
-80.6083333,28.0833333,5/12/2000
-76.3427778,42.2327778,5/12/2000
-104.9980556,39.8513889,5/13/2000
-94.4152778,39.0911111,5/13/2000
-122.2272222,47.3075,5/13/2000
-94.5033333,46.0911111,5/13/2000
-121.9866667,38.3566667,5/13/2000
-73.8286111,40.8883333,5/14/2000
-90.6475,44.1930556,5/14/2000
-74.1786111,40.4463889,5/14/2000
-74.3197222,39.6669444,5/14/2000
-74.3405556,39.6030556,5/14/2000
-75.0022222,41.0933333,5/15/2000
-118.2427778,34.0522222,5/15/2000
-88.2963889,36.7427778,5/15/2000
-78.9222222,40.3266667,5/15/2000
-73.7827778,40.9113889,5/15/2000
-93.1075,36.2297222,5/15/2000
-80.11,32.9855556,5/15/2000
-119.4686111,35.4005556,5/15/2000
-118.1358333,34.6980556,5/15/2000
-92.5363889,47.5233333,5/15/2000
-94.9655556,32.9952778,5/15/2000
-93.5266667,44.7980556,5/15/2000
-74.1322222,40.9402778,5/15/2000
-81.6955556,41.4994444,5/15/2000
-80.8433333,35.2269444,5/16/2000
-75.5469444,39.7458333,5/17/2000
-98.8716667,30.275,5/17/2000
-74.2041667,40.8052778,5/17/2000
-88.8138889,35.6144444,5/17/2000
-119.0177778,35.3733333,5/17/2000
-123.8880556,45.5227778,5/17/2000
-122.4183333,37.775,5/18/2000
-79.0833333,41.1611111,5/18/2000
-91.4033333,38.0627778,5/18/2000
-112.0733333,33.4483333,5/19/2000
-80.7422222,28.3858333,5/19/2000
